code,name,capital
1,Mombasa,Mombasa City
2,Kwale,Kwale
3,Kilifi,Kilifi
4,Tana River,Hola
5,Lamu,Lamu
6,Taita Taveta,Mwatate
7,Garissa,Garissa
8,Wajir,Wajir
9,Mandera,Mandera
10,Marsabit,Marsabit
11,Isiolo,Isiolo
12,Meru,Meru
13,Tharaka-Nithi,Chuka
14,Embu,Embu
15,Kitui,Kitui
16,Machakos,Machakos
17,Makueni,Wote
18,Nyandarua,Ol kalou
19,Nyeri,Nyeri
20,Kirinyaga,Kutus
21,Murang'a,Murang'a
22,Kiambu,Kiambu
23,Turkana,Lodwar
24,West Pokot,Kapenguria
25,Samburu,Maralal
26,Trans-Nzoia,Kitale
27,Uasin Gishu,Eldoret
28,Elgeyo-Marakwet,Iten
29,Nandi,Kapsabet
30,Baringo,Kabarnet
31,Laikipia,Rumuruti
32,Nakuru,Nakuru
33,Narok,Narok
34,Kajiado,Kajiado
35,Kericho,Kericho
36,Bomet,Bomet
37,Kakamega,Kakamega
38,Vihiga,Mbale
39,Bungoma,Bungoma
40,Busia,Busia
41,Siaya,Siaya
42,Kisumu,Kisumu
43,Homa Bay,Homa Bay
44,Migori,Migori
45,Kisii,Kisii
46,Nyamira,Nyamira
47,Nairobi,Nairobi City
